id,name,crimes,current_status,Timestamp
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.00
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.10
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.20
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.30
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.40
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.50
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.60
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.70
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,0.80
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,5.56
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,5.66
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,5.77
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,5.87
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,5.92
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,5.97
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.02
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.07
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.13
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.18
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.26
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.33
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.43
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.52
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.60
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.68
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.76
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.84
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,6.94
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,7.03
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,7.13
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,7.23
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,7.33
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,7.43
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,7.53
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,7.63
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,11.71
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,11.79
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,11.86
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,11.94
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,12.01
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,12.09
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,12.16
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,13.07
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,13.17
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,13.27
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,13.37
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,13.47
29b25032-950c-4d83-8b2f-089c6b7c15f6,gorab ,gorab,gorab,13.54
